index,class,subclass,prov/terr,municipality,file_name,provider,source_url,licence,format,source_id,street_name,source_class,surface_type,width,geometry,geom_type,inscope_filter,inscope_value,bike_column,bike_value,walk_column,walk_value,multi_column,multi_value
0,walking,sidewalks,nb,Fredericton,Sidewalks,City of Fredericton,https://opendata.arcgis.com/api/v3/datasets/9678a90ca83b4d1a851194e3db4a5cdd_0/downloads/data?format=shp&spatialRefId=4326,Request Permission,shp,UNIQUE_ID,Street,,,,geometry,linestring,Program,Extension__Local Improvement__New__Rebuild__Renewal,,,,,,
1,biking,streets,nb,Moncton,Active_Transportation,City of Moncton,https://opendata.arcgis.com/api/v3/datasets/939cf40923ce44e590d3ad47c4a429ff_0/downloads/data?format=shp&spatialRefId=2953,https://www5.moncton.ca/docs/Open_Data_Terms_of_Use.pdf,shp,UNIQUEID,STNAME,ATROUTE,SRTYPE,,geometry,linestring,,,,,,,,
2,walking,pathways,nb,Moncton,Pathways,City of Moncton,https://opendata.arcgis.com/api/v3/datasets/edfd46d2747c4ce5881270b9ad6b7d71_0/downloads/data?format=shp&spatialRefId=2953,https://www5.moncton.ca/docs/Open_Data_Terms_of_Use.pdf,shp,OBJECTID,,CLASS,SURFACE_TY,,geometry,linestring,,,,,,,,
3,multi-use,trails,nb,Moncton,Trails,City of Moncton,https://opendata.arcgis.com/api/v3/datasets/a46d5a4641394cf6b75803746ba2c0c5_0/downloads/data?format=shp&spatialRefId=2953,https://www5.moncton.ca/docs/Open_Data_Terms_of_Use.pdf,shp,OBJECTID,,CLASS,SURFACE_TY,,geometry,linestring,CLASS,Multi-Use,,,,,CLASS,Multi-Use
4,multi-use,sidewalks,nb,Moncton,Sidewalk,City of Moncton,https://opendata.arcgis.com/api/v3/datasets/42863c0bd44a48718c622dd5dc410081_0/downloads/data?format=shp&spatialRefId=2953,https://www5.moncton.ca/docs/Open_Data_Terms_of_Use.pdf,shp,UNIQUEID,STNAME,FCODE,SURFACE,WIDTH,geometry,linestring,,,,,FCODE,SIDEWALK,FCODE,MP TRAIL
5,walking,sidewalks,nb,Saint John,Sidewalks,City of Saint John,https://opendata.arcgis.com/api/v3/datasets/02b56e64a7eb41af9f0534620fe01be6_0/downloads/data?format=shp&spatialRefId=2953,,shp,OBJECTID,,,Material,,geometry,linestring,,,,,,,,
0,multi-use,,on,Ajax,Recreational_Trails,City of Ajax,https://opendata.arcgis.com/api/v3/datasets/cf1493a01cf94730b4d2d80fc1cf869e_25/downloads/data?format=shp&spatialRefId=26917 ,http://townofajax.maps.arcgis.com/sharing/rest/content/items/22e2d8e248724d7cb0310dc2db675abd/data ,shp,OBJECTID,NAME,AMENITIES,SURFACE_TY ,WIDTH,geometry,linestring,STATUS,Complete,,,,,,
1,biking,,on,Ajax,Active_Transportation,City of Ajax,https://opendata.arcgis.com/api/v3/datasets/3f209784f44f4f1ab337ca52b680ba56_14/downloads/data?format=shp&spatialRefId=26917 ,http://townofajax.maps.arcgis.com/sharing/rest/content/items/22e2d8e248724d7cb0310dc2db675abd/data ,shp,OBJECTID,LOCATION,TYPE,,,geometry,linestring,STATUS,__Active,,,,,,
2,multi-use,,on,Barrie,Trail,City of Barrie,https://opendata.arcgis.com/api/v3/datasets/c350bf11964b4d38b3d11fadd4a6431d_0/downloads/data?format=shp&spatialRefId=26917 ,https://www.barrie.ca/Online%20Services/PublishingImages/OpenData_Images/COB_DataLicense.pdf ,shp,OBJECTID,NAME,TYPE,SURFACE,WIDTH,geometry,linestring,,,,,,,,
3,walking,,on,Barrie,Sidewalk_Walkway,City of Barrie,https://opendata.arcgis.com/api/v3/datasets/8b479953601f4355a29ea668885c8415_12/downloads/data?format=shp&spatialRefId=26917 ,https://www.barrie.ca/Online%20Services/PublishingImages/OpenData_Images/COB_DataLicense.pdf ,shp,OBJECTID,,TYPE,SURFACE,WIDTH,geometry,linestring,,,,,,,,
4,multi-use,,on,Brampton,Recreational_Trails,City of Brampton,https://opendata.arcgis.com/api/v3/datasets/7a4019577fcf4a4f86da22add04816cf_0/downloads/data?format=shp&spatialRefId=3857 ,https://creativecommons.org/licenses/by/4.0/ ,shp,OBJECTID,,TRAIL_TYPE,,,geometry,linestring,,,TRAIL_TYPE,ON ROAD SIGNED ROUTE__ON STREET BIKE LANE,TRAIL_TYPE,SIDEWALK__WALKWAY__CROSSWALK,TRAIL_TYPE,APRON__BRIDGE__MULTI-USE__MULTI-USE PATH__UNDERPASS
